,0,class_label,target_label
0,0.335,0,1
1,0.449,0,1
2,0.54,0,1
3,0.802,0,1
4,0.817,0,1
5,0.567,0,1
6,0.617,0,1
7,0.775,0,1
8,0.732,0,1
9,0.859,0,1
10,0.84,0,1
11,0.274,0,1
12,0.491,0,1
13,0.822,0,1
14,0.304,0,1
15,0.901,0,1
16,0.6,0,1
17,0.678,0,1
18,0.484,0,1
19,0.652,0,1
20,0.76,0,1
21,0.442,0,1
22,0.513,0,1
23,0.958,0,1
24,0.832,0,1
25,0.664,0,1
26,0.935,0,1
27,0.663,0,1
28,0.852,0,1
29,0.654,0,1
30,0.787,0,1
31,0.364,0,1
32,0.754,0,1
33,0.647,0,1
34,0.504,0,1
35,0.624,0,1
36,0.622,0,1
37,0.885,0,1
38,0.716,0,1
39,0.726,0,1
40,0.886,0,1
41,0.937,0,1
42,0.868,0,1
43,0.649,0,1
44,0.719,0,1
45,0.834,0,1
46,0.787,0,1
47,0.685,0,1
48,0.557,0,1
49,0.754,0,1
50,0.621,0,1
51,0.597,0,1
52,0.824,0,1
53,0.862,0,1
54,0.53,0,1
55,0.495,0,1
56,0.618,0,1
57,0.725,0,1
58,0.631,0,1
59,0.866,0,1
60,0.822,0,1
61,0.718,0,1
62,0.815,0,1
63,0.957,0,1
64,0.608,0,1
65,0.131,0,1
66,0.622,0,1
67,0.863,0,1
68,0.761,0,1
69,0.772,0,1
70,0.457,0,1
71,0.759,0,1
72,0.888,0,1
73,0.502,0,1
74,0.503,0,1
75,0.772,0,1
76,0.694,0,1
77,0.861,0,1
78,0.853,0,1
79,0.764,0,1
80,0.093,0,1
81,0.248,0,1
82,0.703,0,1
83,0.519,0,1
84,0.714,0,1
85,0.388,0,1
86,0.689,0,1
87,0.584,0,1
88,0.93,0,1
89,0.509,0,1
90,0.63,0,1
91,0.106,0,1
92,0.773,0,1
93,0.472,0,1
94,0.554,0,1
95,0.633,0,1
96,0.703,0,1
97,0.864,0,1
98,0.776,0,1
99,0.849,0,1
100,0.312,0,1
101,0.538,0,1
102,0.395,0,1
103,0.643,0,1
104,0.423,0,1
105,0.714,0,1
106,0.781,0,1
107,0.45,0,1
108,0.44,0,1
109,0.605,0,1
110,0.327,0,1
111,0.773,0,1
112,0.748,0,1
113,0.749,0,1
114,0.602,0,1
115,0.762,0,1
116,0.869,0,1
117,0.785,0,1
118,0.659,0,1
119,0.562,0,1
120,0.591,0,1
121,0.825,0,1
122,0.54,0,1
123,0.794,0,1
124,0.588,0,1
125,0.869,0,1
126,0.503,0,1
127,0.786,0,1
128,0.189,0,1
129,0.852,0,1
130,0.403,0,1
131,0.649,0,1
132,0.675,0,1
133,0.906,0,1
134,0.652,0,1
135,0.655,0,1
136,0.621,0,1
137,0.583,0,1
138,0.531,0,1
139,0.367,0,1
140,0.76,0,1
141,0.118,0,1
142,0.946,0,1
143,0.687,0,1
144,0.505,0,1
145,0.761,0,1
146,0.223,0,1
147,0.451,0,1
