score,taget
0.659,1.0
0.381,1.0
0.255,1.0
0.645,1.0
0.348,1.0
0.681,1.0
1.0,1.0
0.198,1.0
0.923,1.0
0.426,1.0
0.63,1.0
0.871,1.0
1.0,1.0
0.951,1.0
0.724,1.0
0.591,1.0
0.524,1.0
0.298,1.0
0.139,1.0
0.906,1.0
0.185,1.0
0.782,1.0
1.0,1.0
0.758,1.0
0.839,1.0
0.485,1.0
1.0,1.0
0.869,1.0
0.389,1.0
0.513,1.0
0.88,1.0
1.0,1.0
0.515,1.0
1.0,1.0
0.981,1.0
1.0,1.0
0.568,1.0
1.0,1.0
0.979,1.0
0.953,1.0
0.612,1.0
0.666,1.0
0.483,1.0
0.505,1.0
0.295,1.0
0.716,1.0
0.564,1.0
1.0,1.0
0.741,1.0
0.338,1.0
1.0,1.0
0.0,1.0
0.544,1.0
0.505,1.0
0.548,1.0
0.772,1.0
0.882,1.0
0.642,1.0
0.404,1.0
0.492,1.0
0.755,1.0
0.923,1.0
0.214,1.0
0.342,1.0
0.39,1.0
0.342,1.0
0.41,1.0
1.0,1.0
0.592,1.0
0.688,1.0
0.575,1.0
1.0,1.0
0.95,1.0
0.511,1.0
0.555,1.0
0.939,1.0
0.611,1.0
0.488,1.0
0.501,1.0
0.848,1.0
0.417,1.0
0.513,1.0
0.389,1.0
0.827,1.0
0.848,1.0
0.378,1.0
0.405,1.0
0.435,1.0
0.803,1.0
0.423,1.0
0.786,1.0
0.885,1.0
0.643,1.0
0.893,1.0
0.372,1.0
0.45,1.0
0.834,1.0
0.271,1.0
0.571,1.0
0.611,1.0
0.606,1.0
0.711,1.0
1.0,1.0
1.0,1.0
0.914,1.0
0.337,1.0
0.93,1.0
1.0,1.0
0.688,1.0
0.807,1.0
0.362,1.0
1.0,1.0
0.956,1.0
0.364,1.0
0.526,1.0
0.758,1.0
0.961,1.0
0.652,1.0
0.916,1.0
0.442,1.0
0.907,1.0
0.878,1.0
1.0,1.0
1.0,1.0
0.805,1.0
0.277,1.0
0.798,1.0
0.973,1.0
0.966,1.0
0.262,1.0
0.726,1.0
0.755,1.0
0.673,1.0
0.488,1.0
0.332,1.0
1.0,1.0
0.466,1.0
1.0,1.0
0.318,1.0
0.193,1.0
0.494,1.0
0.385,1.0
0.563,1.0
0.0,1.0
0.926,1.0
0.99,1.0
0.904,1.0
0.661,1.0
0.421,1.0
0.992,1.0
0.068,1.0
0.5,1.0
0.029,1.0
0.724,1.0
0.997,1.0
0.237,1.0
0.454,1.0
1.0,1.0
0.407,1.0
0.607,1.0
0.649,1.0
0.209,1.0
0.867,1.0
0.694,1.0
0.826,1.0
0.996,1.0
0.999,1.0
1.0,1.0
0.806,1.0
0.695,1.0
0.992,1.0
0.64,1.0
0.334,1.0
0.241,1.0
0.883,1.0
0.499,1.0
0.892,1.0
0.82,1.0
0.99,1.0
0.571,1.0
0.87,1.0
0.421,1.0
0.749,1.0
1.0,1.0
0.336,1.0
0.734,1.0
0.865,1.0
0.57,1.0
0.515,1.0
0.451,1.0
0.402,1.0
0.572,1.0
0.171,1.0
0.72,1.0
0.436,1.0
0.568,1.0
1.0,1.0
0.715,1.0
1.0,1.0
0.572,1.0
0.899,1.0
0.805,1.0
0.764,1.0
0.785,1.0
0.466,1.0
0.952,1.0
0.489,1.0
0.842,1.0
0.953,1.0
0.394,1.0
0.992,1.0
0.538,1.0
0.95,1.0
0.705,1.0
1.0,1.0
0.36,1.0
1.0,1.0
1.0,1.0
0.892,1.0
0.739,1.0
0.575,1.0
0.914,1.0
0.684,1.0
0.389,1.0
0.556,1.0
0.913,1.0
0.261,1.0
0.63,1.0
0.752,1.0
0.653,1.0
0.939,1.0
0.732,1.0
0.617,1.0
0.302,1.0
0.702,1.0
0.537,1.0
0.295,1.0
0.449,1.0
0.486,1.0
0.767,1.0
0.409,1.0
0.595,1.0
0.382,1.0
0.934,1.0
0.233,1.0
0.688,1.0
0.416,1.0
0.767,1.0
0.987,1.0
0.415,1.0
0.816,1.0
0.35,1.0
0.954,1.0
1.0,1.0
0.302,1.0
0.859,1.0
0.394,1.0
0.219,1.0
0.397,1.0
0.943,1.0
0.644,1.0
0.624,1.0
0.417,1.0
0.809,1.0
0.262,1.0
0.362,1.0
0.397,1.0
0.315,1.0
0.497,1.0
0.543,1.0
0.977,1.0
0.237,1.0
0.345,1.0
0.699,1.0
0.298,1.0
0.299,1.0
0.842,1.0
0.818,1.0
0.541,1.0
0.481,1.0
0.316,1.0
0.901,1.0
0.172,1.0
0.883,1.0
0.787,1.0
0.82,1.0
0.697,1.0
0.375,1.0
0.919,1.0
0.733,1.0
0.286,1.0
0.315,1.0
0.99,1.0
0.506,1.0
0.884,1.0
1.0,1.0
0.59,1.0
0.618,1.0
0.967,1.0
0.21,1.0
0.736,1.0
1.0,1.0
1.0,1.0
0.608,1.0
0.907,1.0
0.563,1.0
0.194,1.0
0.961,1.0
0.661,1.0
0.997,1.0
0.389,1.0
0.706,1.0
0.985,1.0
0.976,1.0
1.0,1.0
0.877,1.0
0.386,1.0
1.0,1.0
0.36,1.0
0.572,1.0
0.895,1.0
0.265,1.0
1.0,1.0
0.711,1.0
0.507,1.0
0.684,1.0
0.268,1.0
0.584,1.0
0.964,1.0
1.0,1.0
0.512,1.0
0.568,1.0
1.0,1.0
0.6,1.0
0.482,1.0
1.0,1.0
0.615,1.0
0.159,1.0
0.469,1.0
0.829,1.0
0.94,1.0
0.263,1.0
0.253,1.0
0.93,1.0
0.699,1.0
1.0,1.0
0.747,1.0
0.895,1.0
0.889,1.0
0.729,1.0
0.447,1.0
0.616,1.0
0.496,1.0
0.697,1.0
0.942,1.0
0.199,1.0
0.517,1.0
0.505,1.0
0.417,1.0
0.37,1.0
0.518,1.0
0.259,1.0
0.623,1.0
0.318,1.0
0.388,1.0
0.719,1.0
0.494,1.0
0.517,1.0
1.0,1.0
1.0,1.0
0.741,1.0
1.0,1.0
1.0,1.0
0.868,1.0
1.0,1.0
0.505,1.0
0.261,1.0
0.528,1.0
1.0,1.0
0.74,1.0
0.792,1.0
0.837,1.0
0.657,1.0
0.106,1.0
0.799,1.0
0.48,1.0
0.928,1.0
0.614,1.0
0.843,1.0
0.87,1.0
0.369,1.0
0.964,1.0
0.977,1.0
0.339,1.0
0.634,1.0
0.505,1.0
1.0,1.0
0.644,1.0
0.929,1.0
1.0,1.0
1.0,1.0
0.322,1.0
0.256,1.0
0.734,1.0
0.441,1.0
0.425,1.0
0.568,1.0
0.288,1.0
0.467,1.0
1.0,1.0
1.0,1.0
0.627,1.0
0.705,1.0
0.948,1.0
0.341,1.0
0.773,1.0
0.372,1.0
1.0,1.0
0.957,1.0
0.396,1.0
0.835,1.0
0.584,1.0
0.551,1.0
0.874,1.0
0.556,1.0
0.492,1.0
0.807,1.0
0.683,1.0
0.647,1.0
0.973,1.0
0.857,1.0
0.888,1.0
0.474,1.0
0.827,1.0
0.031,1.0
0.556,1.0
1.0,1.0
0.772,1.0
0.804,1.0
0.751,1.0
0.905,1.0
0.5,1.0
0.269,1.0
0.377,1.0
0.536,1.0
0.929,1.0
0.171,1.0
0.184,1.0
0.404,1.0
0.754,1.0
0.451,1.0
0.85,1.0
0.541,1.0
0.669,1.0
0.869,1.0
0.858,1.0
0.526,1.0
0.904,1.0
0.496,1.0
0.973,1.0
0.161,1.0
0.68,1.0
0.271,1.0
0.551,1.0
0.85,1.0
0.69,1.0
0.573,1.0
0.523,1.0
0.954,1.0
0.654,1.0
0.37,1.0
0.664,1.0
0.799,1.0
1.0,1.0
0.474,1.0
1.0,1.0
0.896,1.0
0.933,1.0
0.938,1.0
0.993,1.0
0.541,1.0
0.883,1.0
1.0,1.0
0.981,1.0
0.646,1.0
0.2,1.0
0.853,1.0
1.0,1.0
0.844,1.0
0.936,1.0
0.876,1.0
0.585,1.0
0.789,1.0
1.0,1.0
0.321,1.0
0.927,1.0
0.185,1.0
0.873,1.0
0.933,1.0
0.973,1.0
0.208,1.0
0.343,1.0
1.0,1.0
0.722,1.0
0.629,1.0
0.122,1.0
0.821,1.0
0.587,1.0
1.0,1.0
0.84,1.0
0.515,1.0
0.291,1.0
0.433,1.0
0.984,1.0
0.178,1.0
0.617,1.0
0.965,1.0
0.192,1.0
0.37,1.0
1.0,1.0
0.531,1.0
0.728,1.0
0.615,1.0
0.984,1.0
0.857,1.0
0.28,1.0
0.142,1.0
0.852,1.0
0.913,1.0
1.0,1.0
0.765,1.0
0.536,1.0
1.0,1.0
0.817,1.0
0.5,1.0
0.579,1.0
0.615,1.0
0.779,1.0
0.244,1.0
0.288,1.0
0.844,1.0
0.802,1.0
0.927,1.0
0.443,1.0
0.953,1.0
0.529,1.0
0.976,1.0
0.933,1.0
0.594,1.0
0.934,1.0
1.0,1.0
0.799,1.0
0.897,1.0
0.771,1.0
0.876,1.0
0.788,1.0
1.0,1.0
0.545,1.0
1.0,1.0
0.647,1.0
0.786,1.0
0.904,1.0
0.671,1.0
0.939,1.0
0.516,1.0
0.621,1.0
0.398,1.0
0.922,1.0
0.546,1.0
0.781,1.0
0.539,1.0
0.523,1.0
0.348,1.0
0.496,1.0
0.755,1.0
0.897,1.0
0.759,1.0
0.541,1.0
0.785,1.0
0.869,1.0
0.569,1.0
0.966,1.0
0.955,1.0
0.0,1.0
1.0,1.0
0.642,1.0
0.584,1.0
0.384,1.0
0.9,1.0
1.0,1.0
0.928,1.0
0.781,1.0
0.278,1.0
0.258,1.0
0.345,1.0
1.0,1.0
0.521,1.0
0.492,1.0
0.149,1.0
1.0,1.0
0.911,1.0
0.737,1.0
0.641,1.0
0.908,1.0
0.522,1.0
0.416,1.0
0.676,1.0
0.666,1.0
0.705,1.0
1.0,1.0
0.507,1.0
0.266,1.0
1.0,1.0
0.881,1.0
0.496,1.0
0.643,1.0
0.942,1.0
0.17,1.0
0.705,1.0
0.144,1.0
0.371,1.0
0.98,1.0
0.545,1.0
0.951,1.0
0.936,1.0
0.879,1.0
0.336,1.0
0.818,1.0
0.704,1.0
0.184,1.0
0.964,1.0
0.656,1.0
0.508,1.0
0.231,1.0
1.0,1.0
0.267,1.0
0.706,1.0
0.51,1.0
0.62,1.0
0.514,1.0
1.0,1.0
0.353,1.0
