,revolving,age,nbr_30_59_days_past_due_not_worse,debt_ratio,monthly_income,nbr_open_credits_and_loans,nbr_90_days_late,nbr_real_estate_loans_or_lines,nbr_60_89_days_past_due_not_worse,dependents,target
10682,0.019252081,66,0,0.433925811,5175.0,13,0,1,0,0.0,0
40173,0.454220826,78,0,0.873533246,2300.0,7,0,1,0,2.0,0
4719,0.077572174,59,0,0.172881669,10833.0,5,0,1,0,0.0,0
81730,0.107863686,59,0,0.453691546,9900.0,10,0,2,0,0.0,0
113639,0.101095417,67,0,0.407830617,5950.0,14,0,2,0,0.0,0
86739,0.019643175,80,0,29.0,,5,0,0,0,,0
30081,0.0,62,0,0.168298074,9500.0,8,0,1,0,1.0,0
12131,0.9999999,50,98,0.0,1350.0,0,98,0,98,0.0,1
57895,0.115157435,28,0,0.107822748,6250.0,5,0,0,0,0.0,0
38809,0.024171811,46,1,0.576745047,5400.0,8,0,1,0,2.0,0
54745,0.096229095,50,0,0.513236391,5363.0,6,0,2,0,3.0,0
20189,0.084621866,55,0,2926.0,,21,0,1,0,,0
33463,0.022158142,84,0,0.00749875,6000.0,8,0,0,0,0.0,0
116867,0.979630476,58,0,4440.0,,15,0,1,0,0.0,0
14451,0.138373504,64,0,0.2488397,2800.0,6,0,1,0,0.0,0
133672,0.885852358,40,0,0.097357772,4200.0,3,0,0,0,5.0,0
57358,0.757040493,48,0,0.223777495,5500.0,3,0,1,0,0.0,0
76682,0.821847468,63,0,0.431699191,2100.0,5,0,0,0,0.0,0
119185,0.032750617,77,0,0.202617944,11000.0,7,0,1,0,1.0,0
6211,0.492940597,40,0,0.234553089,5000.0,5,0,0,0,3.0,0
8651,0.813340096,34,0,1.423288356,2000.0,7,0,2,0,2.0,0
89799,0.13942872,39,0,0.025656566,4949.0,4,0,0,0,1.0,0
79093,2175.0,51,0,0.421989721,5447.0,4,0,1,0,0.0,0
11055,0.31868248,64,0,3109.0,,5,0,2,0,2.0,0
75528,0.9999999,82,0,0.0,2763.0,1,0,0,0,0.0,0
84389,0.058641903,80,0,0.015413456,4800.0,4,0,0,0,0.0,0
145609,0.322733863,42,0,1511.0,,9,0,1,0,0.0,0
138507,0.674245973,75,0,0.381126054,4386.0,5,0,1,0,0.0,0
62135,0.001970668,69,0,0.001608826,4350.0,13,0,0,0,0.0,0
106446,0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,1
26848,0.143343557,62,0,0.204338868,8250.0,8,0,1,0,2.0,0
67824,0.9999999,45,0,1008.0,,2,1,1,1,3.0,0
89252,0.000758967,80,0,0.120106901,6360.0,9,0,1,0,0.0,0
39583,0.681478308,34,0,0.416758324,10000.0,18,0,2,0,0.0,0
146645,0.006793386,52,0,0.00139986,10000.0,5,0,0,0,2.0,0
25347,0.462443607,45,2,1.520516559,4800.0,12,0,3,0,0.0,0
62525,1.012285276,53,0,0.807062655,11666.0,10,0,3,0,0.0,0
14108,0.0,47,0,0.857734609,7000.0,10,0,5,0,0.0,0
149335,0.280634271,38,0,5725.0,,8,0,2,0,3.0,0
122321,0.093200479,50,0,0.579488644,7000.0,12,0,4,0,0.0,0
132779,0.156286582,61,0,1090.0,,4,0,2,0,,0
119974,0.751730621,48,5,0.308338332,1666.0,13,0,0,0,2.0,1
27511,0.026136217,47,0,0.239458348,5833.0,4,0,2,0,0.0,0
70351,0.208062838,34,0,0.592202318,2846.0,8,0,1,0,1.0,0
76211,0.0,67,0,0.194662805,4833.0,6,0,1,0,0.0,0
81712,0.883107089,66,1,0.010964205,3100.0,3,1,0,0,0.0,0
18845,0.111826378,50,0,0.154754762,26667.0,17,0,2,0,2.0,0
59229,0.763142625,43,1,0.944611078,5000.0,5,0,2,0,0.0,0
31670,0.083625962,57,0,0.096208076,33333.0,8,0,1,0,2.0,0
88896,0.189795327,41,3,0.377515703,7800.0,9,0,2,0,0.0,0
74186,0.66937646,51,0,1.106946225,13258.0,23,0,2,0,2.0,1
103222,0.059944866,51,0,0.320585726,7033.0,13,0,1,0,0.0,0
94008,0.053015557,48,0,2937.0,,8,0,1,0,0.0,0
122318,0.621553829,61,0,0.261819528,8100.0,6,0,1,0,0.0,0
74206,0.304695305,44,0,0.013315579,750.0,5,0,0,0,3.0,0
55181,0.804884832,37,2,0.322413104,5005.0,23,0,0,0,2.0,1
79177,0.250845198,37,0,0.117024241,10766.0,5,0,0,0,1.0,0
77664,0.349659153,54,0,0.197951697,13083.0,6,0,1,0,1.0,0
135310,0.515391553,64,0,0.130322473,12000.0,11,0,2,0,3.0,0
36184,0.078656149,43,0,0.140049648,4833.0,6,0,1,0,0.0,0
17203,0.0,49,0,3471.0,,8,0,2,0,0.0,0
71756,0.870603996,71,3,0.167847902,26666.0,13,0,3,0,0.0,0
3947,0.952039643,52,0,0.360458453,6979.0,12,0,2,0,1.0,0
63982,0.013802826,60,0,0.294570066,6500.0,6,0,1,0,0.0,0
14849,0.220486909,46,0,0.919328041,5416.0,10,0,4,0,0.0,0
97607,0.394438601,81,0,0.332340251,9733.0,22,0,1,0,0.0,0
17382,0.9999999,47,0,0.281644509,8950.0,6,0,1,0,4.0,0
58495,0.0,29,0,1745.0,,3,0,1,0,0.0,0
67094,0.108544573,65,0,0.5155992,11506.0,9,0,4,0,0.0,0
55638,0.0,56,0,0.257942679,4500.0,10,0,2,0,0.0,0
6905,0.9999999,49,0,0.39734448,4066.0,5,0,1,0,0.0,0
46915,0.108615297,25,0,34.0,,3,0,0,0,0.0,0
143525,0.402797595,62,0,0.332039994,6700.0,9,0,1,0,0.0,0
64530,0.968531263,50,0,0.403285323,8400.0,8,0,1,0,0.0,0
148302,0.027606785,74,0,0.0029997,10000.0,5,0,0,0,0.0,0
140780,0.481839934,63,0,1705.0,,7,0,1,0,,0
35283,0.019670573,80,0,0.016431925,2555.0,24,0,0,0,0.0,0
126259,0.482744749,34,0,932.0,,4,0,0,0,1.0,0
142120,0.048889462,52,0,0.456939652,14200.0,22,0,5,0,3.0,0
85436,0.022104988,71,0,0.015240734,8660.0,12,0,0,0,1.0,0
99763,0.390095248,33,0,0.432369038,3836.0,7,0,0,0,2.0,0
103235,0.161780899,56,0,0.400916297,13750.0,9,0,2,0,1.0,0
53111,0.218751611,61,0,0.114352696,3838.0,7,0,0,0,0.0,0
29136,0.294958067,49,0,0.32254071,10500.0,10,0,1,0,3.0,0
135728,0.174482552,28,0,26.0,1.0,1,0,0,0,0.0,0
81167,0.053966541,46,0,2533.0,0.0,4,0,2,0,3.0,0
103286,0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,1
96581,0.262274315,62,0,0.563700298,7393.0,10,0,2,0,0.0,0
50428,0.156035441,51,0,0.542246618,5100.0,9,0,1,0,5.0,0
59089,0.817265433,48,4,1.464927143,2950.0,19,0,1,3,3.0,0
21484,0.023405477,66,0,0.021654636,1800.0,5,0,0,0,0.0,0
128925,0.734033481,65,0,3793.0,,22,0,2,0,0.0,0
141395,0.088098478,54,0,2293.0,,5,0,1,0,0.0,0
10826,0.603688684,38,0,0.112531969,4300.0,7,0,0,0,0.0,0
100783,0.77420685,45,0,0.442702051,5802.0,7,0,2,0,1.0,0
76812,0.961759306,55,2,0.367873723,5384.0,7,0,1,1,2.0,1
15402,0.139426358,48,0,0.358185279,9455.0,8,0,2,0,1.0,0
130011,0.0,45,1,0.069451884,5600.0,9,0,0,0,2.0,0
94563,0.902403496,49,1,3032.0,,7,0,2,0,0.0,0
90403,0.8898535,30,0,0.071185763,5000.0,3,1,0,0,0.0,0
85081,0.048439554,63,0,1075.0,0.0,10,0,2,0,0.0,0
92948,0.064090336,57,0,3754.0,,8,0,1,0,0.0,0
98784,0.424336436,25,0,0.077163386,3200.0,6,0,0,0,2.0,0
32666,0.0,28,0,15.14285714,160.0,5,0,1,0,0.0,0
40107,0.9999999,52,0,0.0,3932.0,0,0,0,0,0.0,0
19073,1.185628743,33,2,0.111083622,4041.0,3,0,0,1,0.0,1
83774,0.0,61,0,14.0,,3,0,0,0,,0
98377,0.054987733,37,1,0.230153969,5000.0,14,0,1,0,0.0,0
90449,0.919566561,53,0,0.39728636,4200.0,5,0,2,0,4.0,0
108801,0.9999999,64,0,0.15696649,1700.0,3,0,0,0,0.0,0
93354,0.232592247,58,0,0.345239874,6690.0,6,0,2,0,1.0,0
99321,0.0251146,50,0,70.0,,7,0,0,0,0.0,0
39642,0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,1
67305,0.310761487,37,0,0.491215575,4211.0,6,0,1,0,0.0,0
30854,0.9770023,49,0,0.079529494,5695.0,2,0,0,0,2.0,0
105746,0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1
134101,0.192085096,61,0,0.362802768,5779.0,12,0,1,0,0.0,0
105141,0.0,35,0,0.963318478,2916.0,4,0,1,0,1.0,0
70750,0.368678061,34,0,0.458308338,5000.0,8,0,2,0,0.0,0
134774,0.769230769,48,2,0.292693859,6692.0,6,1,2,1,2.0,0
114680,0.015756061,66,0,0.014985015,1000.0,9,0,0,0,0.0,0
57471,0.641296961,34,1,0.149709499,7400.0,6,0,0,0,1.0,0
97642,0.053389322,45,0,0.064565279,10500.0,2,0,1,0,0.0,0
29659,0.036110633,45,0,0.075955491,6200.0,11,0,0,0,4.0,0
23969,0.071783151,66,0,0.016995751,4000.0,5,0,0,0,0.0,0
4140,0.568847926,49,0,0.163307412,6300.0,5,0,1,0,0.0,0
23881,0.132435794,48,0,4697.0,,8,0,2,0,0.0,0
25041,0.05326617,77,1,0.547745225,10000.0,23,0,4,0,0.0,0
138763,0.083521141,51,1,0.206932673,10500.0,14,0,2,0,0.0,0
46846,0.457318613,68,4,0.560710402,8276.0,18,1,1,0,0.0,0
139714,0.01919904,68,0,11.0,,1,0,0,0,0.0,0
52944,0.939716567,54,2,0.058736394,60081.0,9,0,2,0,1.0,0
18304,0.014516809,66,1,0.542462146,6075.0,10,0,1,0,0.0,0
15420,0.085900671,70,1,55.0,,9,0,0,0,0.0,0
148630,0.897422409,31,1,0.182457592,2416.0,4,0,0,0,0.0,0
36314,0.820876746,54,0,0.410346389,8833.0,8,0,1,0,0.0,0
117044,0.012911613,70,0,0.207798498,8257.0,10,0,1,0,0.0,0
96130,0.011052665,60,0,0.116873412,6690.0,5,0,1,0,0.0,0
37546,0.0,58,0,0.067784149,6800.0,5,0,1,0,0.0,0
36657,0.546625459,40,1,0.098308891,14250.0,4,1,0,0,0.0,1
100073,0.517048812,72,0,0.465001934,18100.0,22,0,4,0,3.0,0
25435,0.01789293,57,0,0.222105263,4749.0,11,0,1,0,3.0,0
140740,0.006467787,47,0,0.479912743,5500.0,13,0,2,0,2.0,0
92152,0.04052138,58,0,0.520238885,4520.0,14,0,2,0,0.0,0
60190,0.003442034,80,0,0.000864304,3470.0,3,0,0,0,0.0,0
81287,0.00836498,79,0,0.004461538,6499.0,13,0,0,0,0.0,0
68679,0.0,65,0,1431.0,,6,0,2,0,0.0,0
94138,0.34727369,40,0,0.240093527,8125.0,8,0,2,0,0.0,0
72107,0.02147771,64,0,0.016029923,3742.0,7,0,0,0,0.0,0
147710,0.0,37,3,0.15137829,6420.0,3,1,0,3,3.0,0
81579,0.0,31,0,181.0,,2,0,0,0,0.0,0
37715,0.092658008,47,0,2236.0,,7,0,3,0,0.0,0
12055,0.0,74,0,0.40234375,511.0,7,0,0,0,0.0,0
116618,0.0,88,1,0.0,,5,0,0,0,,0
26364,0.477571147,48,0,0.445079317,13300.0,15,0,4,0,1.0,0
15472,0.237322721,57,1,0.443962216,11750.0,8,0,2,0,0.0,0
149592,0.0,33,0,0.173478656,3302.0,4,0,0,0,1.0,0
136249,0.092840476,40,0,157.0,,9,0,0,0,,0
31117,0.03788895,52,0,1709.0,,18,0,1,0,0.0,0
2752,0.203512976,41,0,0.561815106,13596.0,15,0,6,0,0.0,0
76947,0.086591341,67,0,0.156762984,10416.0,5,0,1,0,0.0,0
88983,0.518422793,49,0,0.176648581,9583.0,11,0,0,0,0.0,0
141647,0.106946527,43,0,0.512578616,6041.0,6,0,2,0,1.0,0
72266,0.955888457,60,0,0.486388853,7750.0,10,0,1,0,0.0,0
47346,0.144080692,63,0,0.239940015,4000.0,3,0,0,0,0.0,0
48860,0.300234988,37,0,0.101022263,42356.0,5,0,2,0,1.0,0
25700,0.063660642,61,0,892.0,,13,0,1,0,1.0,0
129211,0.063154823,34,0,0.076392361,10000.0,9,0,1,0,0.0,0
83380,0.9999999,63,0,0.302292076,7634.0,5,0,1,0,0.0,0
149025,0.008246722,76,0,0.002039837,8333.0,6,0,0,0,1.0,0
31219,0.142861236,53,0,0.250988142,3541.0,4,0,0,0,0.0,0
147800,0.000154409,64,0,0.246323962,8500.0,15,0,2,0,0.0,0
67720,0.091986601,42,0,0.355755028,8800.0,8,0,2,0,1.0,0
75434,0.007782756,88,0,14.0,,5,0,0,0,0.0,0
141463,0.023755628,39,0,0.412235106,2500.0,6,0,1,0,0.0,0
140231,0.134034545,61,0,0.253057851,6049.0,22,0,0,0,0.0,0
41007,0.57691206,48,0,1.295855169,2098.0,15,0,1,0,1.0,0
108149,0.580529467,60,0,0.352193995,5195.0,4,0,1,0,0.0,0
7929,0.026839511,54,0,0.190356714,9166.0,13,0,1,0,2.0,0
40785,0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,1
35404,0.947744316,44,0,0.383846794,1200.0,5,0,0,0,3.0,0
114206,0.014576081,53,0,0.210955331,9200.0,9,0,1,0,2.0,0
37172,0.009498417,33,0,0.146477563,4300.0,6,0,0,0,2.0,0
96390,0.584284984,34,0,1.477015323,1500.0,9,0,0,0,0.0,0
136919,0.074482591,44,1,0.569272637,8083.0,9,0,3,0,2.0,0
101823,0.46474181,73,0,0.042024833,1046.0,4,0,0,0,0.0,0
62999,0.712431497,54,2,0.4083994,14000.0,19,0,2,0,3.0,0
82967,0.076598132,46,0,0.345322497,5782.0,7,0,2,0,0.0,0
63607,0.234510326,23,0,0.143958869,2333.0,2,0,0,0,0.0,1
