revolving,age,nbr_30_59_days_past_due_not_worse,debt_ratio,monthly_income,nbr_open_credits_and_loans,nbr_90_days_late,nbr_real_estate_loans_or_lines,nbr_60_89_days_past_due_not_worse,dependents
0.905698101,44,0,0.480318173,4902.0,2,0,1,0,1.0
0.590126292,63,0,49.74509804,50.0,4,0,1,0,0.0
0.0,60,0,0.685428722,1900.0,7,0,1,0,0.0
0.004090537,27,0,0.0859375,3583.0,3,0,0,0,0.0
0.941097001,40,2,0.717195408,8100.0,8,0,2,3,2.0
0.103604189,87,0,0.076401285,2800.0,12,0,0,0,0.0
0.038267199,58,1,0.298776098,4166.0,8,0,1,0,0.0
0.9999999,37,0,0.204448888,4000.0,4,0,0,0,1.0
0.9999999,40,0,0.60616581,7200.0,6,0,3,0,0.0
0.009557006,31,0,0.301107126,12825.0,13,0,4,0,0.0
0.9999999,29,1,0.374925373,1674.0,1,0,0,0,3.0
0.505590506,55,0,0.516368328,6200.0,9,0,1,1,0.0
0.0,50,0,0.364046734,3765.0,7,0,3,0,1.0
0.0,41,0,0.346902339,5600.0,4,0,1,0,0.0
0.901171053,46,0,0.425439425,5290.0,8,0,0,0,4.0
0.545839542,50,0,0.309752712,19450.0,11,0,4,0,1.0
0.05673969,52,0,0.136723533,12250.0,4,0,1,0,2.0
0.909340888,72,2,0.427269769,3072.0,5,1,1,0,0.0
0.62345994,65,0,0.538394415,4583.0,9,0,1,0,1.0
0.639680008,37,0,0.391363948,2917.0,5,0,0,0,4.0
0.293498119,50,0,0.726341332,3708.0,9,0,2,0,0.0
0.127613703,85,0,0.12794882,2500.0,13,0,0,0,2.0
0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0
0.056090829,35,3,0.678808657,4666.0,16,0,1,0,0.0
0.002321325,85,2,0.135151891,1612.0,10,0,0,0,0.0
0.141415099,32,0,0.765637498,6250.0,10,0,2,0,0.0
0.958271154,42,0,0.695806194,8750.0,7,0,2,0,0.0
0.565164282,44,1,0.815925728,5600.0,9,0,1,0,0.0
0.429565386,42,0,1.990006662,1500.0,9,0,2,0,2.0
0.402812286,46,0,0.114341304,44200.0,15,0,1,0,5.0
0.013545957,50,1,0.142880181,6200.0,8,0,1,0,1.0
0.017584072,66,0,0.145980536,7500.0,9,0,1,0,0.0
0.9999999,69,0,0.673122172,5524.0,8,0,3,0,0.0
0.727369684,41,0,1.470529471,1000.0,8,0,1,0,0.0
0.725889951,40,0,0.575418031,5800.0,10,0,1,0,0.0
0.092699576,53,1,0.200915765,12666.0,14,0,3,0,6.0
0.002177847,78,0,0.002631002,4560.0,3,0,1,0,0.0
0.007639694,77,0,0.240088362,8600.0,4,0,1,0,0.0
1.005383787,33,1,0.233805822,6560.0,8,0,1,0,2.0
0.311587028,50,0,1.353982301,3050.0,18,0,2,0,1.0
0.031476047,59,0,0.285961872,7500.0,6,0,1,0,0.0
0.694292051,47,0,0.074156367,7200.0,5,0,0,0,2.0
0.273723549,46,0,0.434673079,8732.0,12,0,2,0,0.0
0.000190349,72,0,0.287713841,4500.0,11,1,2,0,0.0
0.013589427,72,0,0.002603319,6145.0,12,0,0,0,0.0
0.368676159,54,0,0.375628598,13720.0,13,0,4,0,0.0
0.043758833,74,0,0.609561753,501.0,14,0,0,0,0.0
0.658946693,66,0,0.415011759,15307.0,11,0,2,0,0.0
0.133595767,62,0,1.218117409,1975.0,13,0,3,0,1.0
0.049698287,58,0,0.700103413,2900.0,13,0,1,0,3.0
0.593850831,41,0,0.287481536,5415.0,11,0,0,0,0.0
0.148553569,69,0,0.625135428,4614.0,18,0,1,0,0.0
1.032129049,33,2,0.297740452,5000.0,5,0,1,0,0.0
0.010955721,75,0,0.310353731,3872.0,10,0,1,0,1.0
0.06659667,53,0,0.300299076,7355.0,8,0,1,0,0.0
0.029998947,44,0,0.219256149,3333.0,11,0,1,0,0.0
0.118098826,29,0,0.262639246,2333.0,5,0,1,1,0.0
0.019786452,63,0,0.517510813,7166.0,12,0,2,1,1.0
0.035474887,67,0,0.147330188,23952.0,20,0,1,0,1.0
0.810021588,55,1,0.135413096,5833.0,4,0,0,1,0.0
0.068179681,35,0,0.04542338,5833.0,6,0,0,0,1.0
0.033481966,27,0,0.098150782,2108.0,9,0,0,0,0.0
0.0,73,0,0.137807926,2800.0,4,0,1,0,0.0
0.477746202,47,2,13.09561753,250.0,14,0,2,0,0.0
0.19813058,40,0,0.126887311,10000.0,5,0,0,0,1.0
0.024090878,70,0,0.196760648,5000.0,9,0,1,0,0.0
0.216783217,67,0,6.0,0.0,2,0,0,0,0.0
0.569215392,28,0,0.041666667,3671.0,2,0,0,0,0.0
0.02295066,67,0,0.009280742,3016.0,5,0,0,0,0.0
0.034254451,55,0,0.202195956,16666.0,19,0,1,0,3.0
0.9999999,30,0,0.162524993,3500.0,2,0,0,0,2.0
0.059146026,30,0,0.244270964,3970.0,8,0,0,0,0.0
0.230125662,45,0,0.143033997,10500.0,8,0,1,0,0.0
0.072740907,28,0,0.098967011,3000.0,2,0,0,0,0.0
0.0,29,1,0.24084897,3250.0,7,0,0,1,0.0
0.9999999,52,0,0.0,5616.0,1,0,0,0,1.0
0.404293274,48,1,81.18811881,100.0,20,0,2,0,0.0
0.034214686,51,0,1.598050244,2666.0,19,0,2,0,0.0
0.067979059,62,0,0.061176969,4723.0,8,0,0,0,0.0
0.129125094,66,0,0.182171379,4632.0,18,0,0,0,0.0
0.0,53,0,0.421883877,8800.0,14,0,3,0,0.0
0.095954335,64,0,0.251315513,4750.0,8,0,0,0,0.0
0.0,52,0,0.30371628,5300.0,12,0,1,0,1.0
