revolving,age,nbr_30_59_days_past_due_not_worse,debt_ratio,monthly_income,nbr_open_credits_and_loans,nbr_90_days_late,nbr_real_estate_loans_or_lines,nbr_60_89_days_past_due_not_worse,dependents
0.043093186,64,1,0.303289378,6900.0,8,1,1,0,3.0
0.333574559,74,0,0.498250292,6000.0,15,0,2,1,1.0
0.022029193,55,0,0.005364545,4100.0,5,0,0,2,0.0
0.9999999,37,0,0.94213198,984.0,3,0,0,0,2.0
0.474511623,42,0,0.219421002,9360.0,6,0,2,0,1.0
0.57888986,49,3,0.4493002,3500.0,7,1,1,1,0.0
0.007665495,57,0,0.311327311,12950.0,13,0,1,0,0.0
0.862809376,60,4,0.25054989,5000.0,5,1,0,0,1.0
1.008991009,22,1,0.191651969,1700.0,3,0,0,0,0.0
0.9999999,58,2,0.011617953,8176.0,1,2,0,0,0.0
0.9999999,42,0,0.038493584,6000.0,1,0,0,0,0.0
0.06288686,60,0,0.385190726,4010.0,11,0,2,0,0.0
0.774976935,46,1,1.015328224,3000.0,10,0,0,5,1.0
0.9999999,34,2,0.099590041,10000.0,4,2,0,1,1.0
0.038125341,68,0,0.501808973,11055.0,12,0,4,0,0.0
0.446160722,46,0,0.753264145,2986.0,9,0,1,0,0.0
0.954351795,57,0,0.395256917,4300.0,11,0,0,0,0.0
0.063328056,26,0,0.076484703,3333.0,2,0,0,0,0.0
1.004997501,60,0,0.297702298,1000.0,4,1,0,1,0.0
0.886140766,69,0,0.550536838,2700.0,11,0,0,0,0.0
0.073237538,49,0,0.414717057,5000.0,9,0,1,0,0.0
0.0,63,0,0.39246988,3319.0,12,0,1,0,0.0
0.944256968,34,1,0.431991581,3800.0,4,2,0,1,1.0
0.973164634,61,1,0.78550149,6041.0,12,0,1,0,0.0
0.0585513,70,0,0.068641884,5433.0,5,0,0,0,0.0
0.215926675,53,0,0.249275072,10000.0,7,0,2,0,1.0
0.055463838,56,2,0.136095989,9000.0,22,0,1,0,0.0
1.069302379,38,2,0.313789655,11000.0,7,0,4,0,0.0
0.059598297,47,0,0.110520499,19000.0,13,0,1,1,5.0
0.793047484,62,5,0.314386135,8250.0,18,0,1,0,0.0
0.9999999,52,0,0.378128214,2916.0,2,0,0,0,0.0
0.054416074,39,0,0.555166783,4286.0,6,0,2,0,0.0
0.016954084,45,0,0.44890571,6076.0,7,0,1,0,3.0
0.346690354,53,0,0.481981462,26000.0,18,0,7,0,1.0
0.67291235,32,0,0.298593581,2772.0,6,0,0,0,1.0
0.9999999,46,0,0.038143924,5085.0,1,2,0,0,3.0
0.88372093,39,2,0.405921681,4187.0,9,0,1,0,0.0
0.9430539,60,0,0.337521956,7400.0,9,0,1,0,2.0
0.227126493,51,0,0.460147149,3261.0,7,0,0,0,2.0
1.330677291,40,1,0.106943336,7517.0,2,3,0,0,3.0
0.232001993,55,0,0.400653168,7654.0,10,0,2,0,0.0
0.001619165,54,0,0.571618921,1500.0,11,0,0,0,0.0
0.005094995,45,0,0.47742043,6000.0,7,2,3,0,2.0
0.36332961,35,0,0.636472705,6667.0,13,0,2,0,0.0
0.360317098,66,0,0.345228934,10395.0,12,0,1,0,1.0
0.65843528,54,0,0.403786878,9083.0,16,0,3,0,1.0
0.706570496,62,0,5.303312778,13945.0,14,0,2,0,0.0
1.223880597,45,1,0.17994002,3000.0,4,3,0,0,2.0
0.136496898,79,0,0.222413793,2899.0,10,0,0,0,1.0
0.813656646,63,1,0.1224,14999.0,8,0,0,0,2.0
0.099427079,39,0,0.913090294,6500.0,18,0,2,0,3.0
0.788901224,48,1,0.65865852,7200.0,8,0,2,0,1.0
0.365547546,82,1,0.218296951,6000.0,16,0,0,0,0.0
0.958300914,37,0,0.454187087,9385.0,13,0,3,0,2.0
0.964132677,41,1,0.222506394,4300.0,7,1,0,0,0.0
0.306649245,50,0,0.299134527,11900.0,8,0,2,0,4.0
0.091169628,41,0,0.252010724,13800.0,11,0,1,0,0.0
0.0,58,0,2.776223776,1000.0,14,0,1,0,0.0
0.189734189,60,0,0.04587156,2833.0,2,0,0,0,0.0
0.9999999,27,0,0.081530782,600.0,2,0,0,2,1.0
0.368004594,41,0,0.320072129,8872.0,6,0,1,0,2.0
0.232849132,62,0,0.797277937,11167.0,19,0,4,0,2.0
0.121887811,67,0,2.251748252,857.0,5,0,4,0,0.0
0.946378479,40,0,0.899507216,5681.0,11,2,2,0,1.0
0.01003273,60,0,0.41318152,4566.0,7,0,1,0,0.0
0.018089265,63,0,0.218187559,3166.0,3,0,2,0,0.0
0.70863853,64,1,0.358638743,1527.0,8,2,0,0,0.0
0.0,29,0,0.077292271,10000.0,6,0,1,0,0.0
0.748654881,30,2,0.17694102,3000.0,6,3,0,0,0.0
0.214751117,60,0,0.473318598,9500.0,23,0,1,0,1.0
0.699115044,47,0,0.276353865,9675.0,10,0,1,0,2.0
0.248705632,69,0,0.21233074,6941.0,8,0,1,0,0.0
0.756715358,34,1,1.050271351,3500.0,12,0,2,0,1.0
0.0,71,2,0.427558626,5500.0,11,0,2,0,0.0
0.094169167,52,0,0.224555089,5000.0,14,0,0,1,0.0
0.009399373,60,0,0.098390161,10000.0,2,0,1,0,1.0
0.737175427,58,0,4.222743259,14500.0,7,0,2,0,3.0
0.887290168,47,0,0.489379425,2400.0,5,0,0,0,2.0
0.641028231,44,0,0.459923346,6000.0,10,0,1,0,2.0
0.10769878,32,0,0.315020963,6916.0,11,0,1,0,1.0
0.046273306,42,0,0.313894808,8916.0,5,1,2,0,1.0
0.259718167,41,0,0.425661914,5400.0,11,0,1,0,1.0
0.059524546,58,0,0.216857734,19800.0,5,0,1,0,0.0
